x,y,z,sx,sy,sz
47.32,13.28,-128.81,3253.5208,1505.8982,6439.4295
34.68,28.09,-101.66,1802.5994,3751.4569,3488.2879
29.86,32.12,-94.53,1057.9386,4236.8775,2603.5494
46.92,10.61,-105.48,3190.7986,294.3314,3913.3442
39.55,13.16,-113.73,2331.5407,1428.4265,4835.8902
34.02,27.94,-101.66,1706.7879,3734.5315,3487.0430
33.75,23.55,-101.57,1623.3595,3156.7421,3466.0331
28.26,24.10,-95.47,467.0961,3225.7380,2696.5668
33.32,21.59,-104.63,1538.6867,2894.7354,3820.6431
36.88,21.15,-109.39,2046.7342,2837.4706,4363.6995
28.06,27.20,-93.60,482.6752,3628.0110,2454.0796
42.17,10.63,-103.59,2635.2501,386.8456,3686.9344
34.86,15.37,-92.27,1703.7903,1805.3281,2219.0375
38.30,17.78,-110.43,2206.4040,2313.4586,4476.4219
39.69,20.70,-108.66,2403.9327,2757.2145,4284.8726
29.75,23.52,-97.48,899.5334,3149.0976,2957.6499
34.52,27.16,-102.51,1772.1471,3636.6990,3585.4083
32.22,25.76,-97.81,1403.6944,3443.7251,3009.5735
27.99,23.93,-95.49,329.9347,3203.7961,2698.3044
29.91,20.27,-98.94,881.0829,2688.5546,3133.1444
34.88,11.77,-101.26,1676.4856,983.5117,3402.2520
29.63,20.06,-98.10,806.3473,2654.5782,3026.0389
28.17,28.93,-94.18,573.0614,3850.0054,2541.3156
32.35,24.96,-99.04,1417.3185,3342.0402,3160.8973
29.70,26.24,-95.60,931.9779,3506.7337,2722.6185
31.51,18.17,-104.23,1189.5137,2376.9810,3766.0651
29.44,18.41,-99.43,724.2496,2402.5056,3188.5951
33.48,29.30,-101.23,1641.4259,3905.5070,3438.0772
35.48,28.68,-104.42,1920.5529,3832.8895,3812.6064
40.28,24.76,-111.12,2505.4251,3335.7366,4562.7090
36.09,12.64,-91.36,1857.2260,1156.6707,2066.7587
29.30,30.12,-94.05,905.8468,3992.8822,2529.9417
33.89,29.36,-101.20,1702.1045,3911.4266,3434.6177
35.23,26.48,-101.43,1865.2724,3541.7894,3456.9270
28.27,22.07,-96.39,403.1122,2946.6816,2810.9333
41.41,11.29,-99.00,2545.9768,708.0400,3127.8170
28.30,23.14,-96.63,453.9015,3098.0823,2845.7452
39.35,23.49,-108.72,2382.0902,3157.1444,4294.9583
38.45,15.89,-111.43,2211.4707,1989.3337,4585.1877
29.27,23.36,-97.67,778.1452,3130.4047,2981.4092
29.92,30.75,-93.94,1049.2044,4069.0459,2518.0191
37.12,23.36,-108.34,2096.8579,3144.9505,4249.5399
29.50,18.80,-100.19,751.2190,2468.0894,3282.6760
48.13,11.44,-128.06,3333.2062,998.7767,6361.9558
39.25,12.04,-104.24,2282.4255,1058.7388,3763.0960
44.57,10.53,-102.15,2919.7253,147.2500,3516.8824
37.50,23.35,-108.64,2145.8997,3143.2925,4283.6209
32.71,20.00,-102.88,1422.5892,2653.5215,3612.5579
43.39,14.15,-123.60,2808.0083,1689.1248,5893.3259
27.73,26.74,-92.87,296.9710,3567.9142,2349.3442
30.21,17.99,-99.67,913.2431,2332.9571,3217.9037
28.16,31.03,-91.88,619.4011,4100.5910,2228.5477
38.87,19.60,-111.49,2294.3659,2606.3715,4596.8190
29.78,24.07,-97.79,916.7421,3225.2841,2998.3241
36.11,14.17,-107.37,1880.6866,1638.3050,4125.8740
41.22,23.24,-112.51,2609.0615,3130.9578,4714.0929
29.32,17.97,-100.25,680.8822,2336.3590,3287.5901
42.54,11.69,-120.93,2691.0515,1065.1100,5611.1969
28.52,32.52,-91.57,755.8093,4278.4718,2190.0098
37.78,16.65,-110.36,2130.4178,2123.3465,4466.7314
40.46,10.90,-95.83,2425.0571,461.6349,2712.3993
40.88,24.56,-111.17,2577.0452,3307.2705,4568.6710
28.45,20.91,-97.75,448.8049,2783.7001,2982.6486
40.71,18.55,-113.11,2514.6098,2442.2223,4774.6482
27.42,31.29,-90.44,319.9724,4129.3345,2012.4460
29.50,14.04,-102.93,648.2467,1620.5931,3603.5568
28.22,32.34,-91.74,670.3967,4258.5662,2214.6228
31.06,23.30,-100.41,1171.4175,3126.6929,3322.3713
39.73,20.95,-111.24,2411.2289,2805.8188,4571.1298
30.44,29.93,-93.99,1138.5536,3966.9448,2522.5556
43.45,11.63,-101.24,2795.2658,854.2645,3407.9186
39.94,20.11,-112.53,2431.6449,2684.5932,4712.3447
30.21,29.20,-95.27,1084.7326,3881.6314,2690.9327
37.28,14.44,-109.92,2044.6432,1703.1021,4415.2049
31.82,11.94,-103.87,1163.9516,1083.5252,3712.7380
30.08,12.65,-103.76,788.7590,1295.3924,3699.4754
32.00,23.26,-102.48,1340.5101,3125.7891,3572.2140
27.77,30.56,-93.09,469.5637,4048.8905,2397.5650
27.22,32.08,-92.05,239.9987,4231.3330,2256.8444
34.03,16.06,-108.59,1594.0071,2026.6606,4264.4006
58.93,12.42,-144.69,4497.8869,1325.5724,8064.7244
36.02,14.79,-108.52,1874.2631,1774.3177,4257.5984
43.35,21.46,-115.68,2848.4177,2884.8352,5057.3754
36.18,20.04,-106.96,1942.4372,2665.0835,4088.3068
38.12,23.82,-101.77,2227.6600,3179.0416,3495.2081
38.61,22.85,-107.51,2283.5429,3065.9123,4157.2470
39.57,14.98,-113.39,2348.4230,1819.9842,4800.5650
41.29,11.17,-118.01,2534.7668,874.1567,5299.2848
27.72,30.44,-90.30,436.0987,4024.4788,1987.2370
42.01,24.45,-112.08,2710.8168,3291.7624,4668.6525
47.93,22.52,-123.68,3373.3763,3051.5998,5907.5550
46.87,22.15,-120.22,3253.5480,2988.9581,5544.6493
39.71,11.99,-103.76,2339.9887,1035.5182,3708.0114
33.78,17.61,-106.53,1570.6310,2286.2155,4032.8451
34.01,28.50,-100.49,1711.0120,3801.5590,3348.7647
43.05,22.20,-115.05,2819.0082,2989.3579,4990.3402
28.04,25.29,-94.83,411.7232,3384.4435,2614.9018
44.92,11.62,-105.52,2968.0291,878.9365,3917.7237
56.76,14.89,-139.67,4282.9455,1855.3904,7555.1128
31.10,22.29,-99.72,1163.7499,2981.6727,3235.8944
35.98,14.54,-109.90,1867.6731,1730.7119,4411.3718
34.07,21.15,-104.06,1648.6912,2825.0154,3755.0676
28.02,28.42,-92.76,500.4580,3780.6171,2342.4674
41.73,10.79,-98.55,2582.3808,414.4221,3069.6048
37.79,26.82,-105.70,2209.4151,3593.7275,3957.8682
28.07,28.68,-93.18,530.7024,3814.2527,2401.8807
30.35,12.83,-103.66,859.9237,1338.8741,3688.2266
39.79,24.91,-108.16,2446.6169,3345.6319,4233.8390
65.53,10.34,-152.53,5167.8306,632.1073,8855.3974
38.29,12.40,-103.17,2160.3193,1163.3514,3637.3751
27.55,31.62,-92.50,411.2407,4176.4300,2318.4411
29.97,31.95,-93.77,1076.2401,4214.3369,2500.2350
29.59,13.70,-103.10,668.9339,1545.1035,3622.4940
29.70,31.68,-94.36,1019.2569,4184.0765,2578.5768
53.25,13.44,-134.76,3903.6711,1544.5996,7054.9438
30.05,23.07,-97.55,958.7301,3086.8801,2965.1907
44.87,12.14,-101.45,2963.9451,1018.2789,3436.0556
27.57,32.42,-91.72,446.2832,4270.3495,2210.2114
36.63,14.76,-110.78,1959.4008,1776.0239,4510.2555
35.95,11.35,-106.19,1831.3153,872.7517,3986.4659
31.90,15.50,-105.41,1228.3396,1915.2550,3899.4095
33.51,14.88,-107.17,1498.5031,1797.0503,4102.3070
37.97,22.35,-110.33,2200.1956,3009.5818,4470.6138
41.24,14.13,-117.04,2549.2530,1658.2513,5196.3333
28.09,25.64,-94.27,443.0391,3428.2240,2540.5163
28.99,28.79,-91.83,803.0169,3821.3673,2210.8866
29.95,27.48,-97.00,1008.3233,3671.0078,2909.2098
34.89,15.52,-91.89,1709.1278,1832.5513,2162.5066
34.14,18.67,-106.21,1635.8200,2457.2464,3999.1459
29.86,29.87,-91.58,1020.2483,3952.0386,2180.9402
27.69,24.80,-92.87,112.9402,3312.7244,2341.5624
35.11,12.81,-101.91,1720.1432,1288.5109,3483.7712
30.05,23.04,-97.76,960.4041,3082.6973,2992.2308
28.54,28.80,-93.84,685.2777,3830.7968,2494.7277
29.69,22.84,-98.09,873.0309,3058.3103,3033.2605
39.15,25.66,-107.45,2372.7513,3445.5360,4155.3020
30.66,29.91,-94.73,1180.9092,3965.4380,2621.6962
40.41,21.63,-111.45,2499.8723,2902.1393,4596.0551
30.96,21.66,-100.43,1129.8869,2895.0014,3321.2339
32.11,23.77,-101.03,1365.0254,3190.0466,3400.5085
29.03,17.86,-100.94,588.6960,2321.0315,3371.1070
28.58,22.36,-97.46,543.2769,2990.9869,2950.8505
27.84,29.24,-92.79,456.7597,3883.5105,2349.3062
38.08,22.83,-108.17,2216.9206,3067.1157,4230.7026
42.45,12.50,-123.23,2686.4575,1309.3589,5854.2331
31.87,11.23,-104.66,1164.3423,850.8543,3803.9221
59.86,22.11,-142.59,4638.8810,3026.0077,7848.8413
77.92,52.47,-151.31,6574.4599,6583.0032,8710.5238
31.32,11.94,-106.16,1067.4419,1107.6308,3978.8112
70.16,50.19,-140.81,5799.7546,6324.1125,7664.1270
92.56,30.25,-181.76,7925.2901,4128.8568,11731.1120
32.49,11.62,-103.92,1284.0043,976.4675,3718.3748
60.06,15.87,-145.69,4630.7500,2054.7070,8164.1609
68.02,44.05,-142.26,5560.8897,5663.9427,7810.1700
80.00,53.19,-155.56,6780.5896,6667.4967,9130.7414
39.28,21.08,-111.45,2356.2408,2826.4895,4594.3505
56.82,36.25,-130.53,4389.7863,4773.9761,6621.8508
33.30,10.44,-104.31,1411.5886,433.5505,3762.5997
45.77,30.41,-114.74,3177.9571,4055.3027,4965.7863
37.74,20.40,-110.97,2154.2807,2729.1895,4539.0262
55.74,11.49,-142.26,4158.7030,1070.5680,7817.5682
72.18,25.23,-111.26,5909.4869,3293.9827,4608.2070
34.17,18.29,-107.61,1638.4119,2401.9781,4157.9355
48.28,31.79,-118.93,3462.6822,4229.8994,5414.1807
51.98,35.33,-123.06,3879.5075,4655.1179,5849.9086
89.25,62.60,-162.87,7716.3036,7658.5719,9844.8725
30.57,14.39,-104.35,941.6944,1697.2560,3772.8006
77.86,29.42,-162.91,6481.0833,4006.3346,9875.2448
94.80,64.39,-169.45,8260.0253,7851.9101,10488.9972
30.31,11.61,-103.96,828.4646,991.7719,3721.4905
83.40,27.47,-168.92,7020.1637,3764.1058,10472.5758
95.78,67.22,-171.22,8364.5098,8147.0099,10658.9897
57.55,14.27,-143.07,4362.5400,1745.3368,7899.3757
39.65,11.34,-94.93,2325.3817,699.6237,2589.6531
30.03,12.07,-103.76,761.3798,1137.4454,3698.3382
52.78,19.03,-134.26,3882.0637,2561.9174,7001.4831
49.19,14.52,-121.58,3467.7723,1722.8952,5687.0292
32.86,14.93,-106.56,1392.2583,1807.0751,4032.0657
35.25,11.10,-105.89,1726.7396,778.4239,3950.9508
32.30,16.37,-105.55,1312.0461,2073.8910,3917.0371
44.56,12.46,-124.66,2933.4258,1296.8653,6005.3619
33.18,15.86,-106.43,1456.0796,1982.0198,4018.2001
48.15,26.69,-120.93,3421.0886,3601.6885,5621.7997
71.83,24.89,-158.97,5863.1253,3428.7816,9486.4499
31.72,10.35,-104.44,1121.5437,398.8649,3776.9453
31.67,13.38,-105.87,1157.8637,1478.5379,3948.3948
74.44,28.23,-159.05,6137.6748,3853.4224,9493.5281
58.50,42.95,-130.53,4594.5861,5529.2183,6622.8040
35.50,10.53,-102.97,1757.8245,432.8081,3606.8107
51.36,33.78,-124.54,3805.8828,4478.5231,6002.2850
84.40,57.76,-157.71,7228.1290,7147.8418,9340.6402
76.25,17.67,-164.83,6276.3541,2382.8317,10075.6478
37.86,13.28,-104.87,2110.9411,1409.1679,3838.3908
39.86,10.94,-106.25,2352.6030,657.7963,3995.8704
78.07,52.42,-152.66,6588.4966,6581.3284,8843.4871
37.29,18.85,-109.46,2082.5993,2487.2013,4368.7194
40.07,19.27,-111.65,2441.2252,2551.1786,4615.1398
73.11,50.11,-144.75,6091.8328,6320.5025,8058.3559
40.87,21.54,-113.10,2555.1850,2894.4928,4776.5180
32.74,12.49,-103.74,1339.0745,1235.5414,3698.5196
35.50,16.19,-109.00,1813.6655,2044.2024,4312.8429
75.47,47.80,-150.37,6315.5730,6082.1930,8619.4754
82.48,56.18,-156.40,7034.9714,6981.5698,9212.2833
37.54,12.56,-104.94,2062.5855,1227.7791,3844.8142
34.12,14.25,-107.10,1588.5784,1663.5588,4093.2366
89.10,24.95,-181.25,7568.7367,3461.2733,11686.0232
85.97,60.90,-161.38,7391.5725,7484.4064,9698.8683
79.02,22.07,-166.96,6567.2294,3048.8840,10282.2892
63.62,45.89,-133.81,5127.2552,5850.9021,6958.4996
59.98,13.18,-146.61,4609.9729,1517.9988,8257.9905
45.44,12.31,-119.61,3033.6770,1212.4876,5474.2077
78.93,20.13,-168.16,6550.7911,2770.8957,10402.1467
36.32,10.49,-102.64,1875.1223,374.1558,3567.0619
65.50,16.51,-153.31,5190.9123,2180.3171,8927.8713
57.36,12.11,-143.82,4332.6896,1248.9961,7976.2800
41.83,11.59,-114.90,2603.2513,984.9571,4964.6021
67.18,17.68,-154.22,5367.1173,2375.6346,9019.2833
33.82,14.69,-106.87,1546.2369,1755.2291,4068.0215
37.58,17.61,-108.13,2110.4431,2278.5676,4218.2645
36.32,19.77,-108.01,1959.3296,2626.9782,4206.7374
74.44,19.25,-164.07,6101.5926,2636.9999,9997.9923
50.01,10.37,-135.39,3536.6047,628.0197,7116.5012
74.12,21.52,-161.75,6078.5604,2966.5163,9765.9977
61.08,10.71,-149.46,4712.8817,815.4603,8545.0574
36.36,10.81,-105.82,1884.5658,631.1166,3942.8257
34.83,15.67,-108.73,1711.1212,1950.8575,4281.0171
