1-0 H_25.40000_179.29412
1411 -11.24902 -37.38756
1465 1.03044 -26.80660
2441 1.38870 -47.40547
2446 -8.58681 -29.68944
2459 7.85163 -26.28980
2466 2.67394 -41.53788
2467 8.10605 -30.46848
2468 -3.98689 -38.43422
2470 6.74404 -30.37895
2471 6.36206 -36.52551
2472 -9.00476 -37.64158
2473 3.05227 -46.39411
2483 -10.72426 -45.55985
2484 7.67285 -28.22434
2486 -7.38961 -38.06902
2497 2.41518 -32.45031
2500 1.60342 -20.38167
2501 -1.08656 -28.10869
2502 -11.00115 -40.19645
2504 0.24015 -29.66703
2522 -0.15006 -33.81150
2524 1.03744 -24.61864
2550 -4.37715 -30.87200
2555 -11.15764 -34.67693
2559 -7.68224 -34.63083
2575 -2.71752 -41.39648
2576 -2.98643 -48.83643
2578 -5.69632 -39.86808
2579 -7.58976 -35.75199
2580 -4.55081 -34.54491
2581 -6.16897 -33.78175
2583 10.16924 -33.41889
2588 -4.28651 -25.96596
2590 6.52053 -41.63432
2595 5.67252 -21.96356
2601 2.69548 -27.28070
2616 4.56916 -25.00703
2620 -10.12377 -23.85690
2621 -3.68506 -22.80273
2622 -0.24062 -15.01649
2631 -5.94429 -16.10511
2634 1.09406 -22.88897
2635 -1.31032 -31.02588
2637 -0.37651 -48.48721
2655 -2.51191 -22.15032
2744 -3.70914 18.40159
2745 3.65266 -32.28679
2905 -5.61631 11.67245
2906 -5.81645 15.12074
2907 -5.41620 25.53065
2908 -5.86113 23.46122
2909 -5.08021 16.61291
2910 3.53016 -20.24467
2911 -3.74314 22.37784
2912 -1.17678 -23.94170
2913 -0.22293 -13.01552
2914 -7.27366 -4.01038
2915 -5.44614 7.37264
2916 3.19828 -22.80404
2917 -0.55976 -19.85262
2918 -5.16890 29.31237
2919 -6.51510 31.48798
2920 -10.18435 -26.59302
2921 -5.88076 -19.61020
2922 -8.07603 -19.16057
2923 -11.30527 -18.60595
2924 -9.48195 -14.11655
2925 6.45404 28.40053
-99
1-1 H_25.40000_102.42267
1085 -1.67471 1.48243
1086 -10.44716 4.59862
1087 -2.42245 8.38403
1117 -1.45902 9.96224
1118 -8.02826 -10.52858
1364 -4.07444 6.94782
1388 -9.68689 -1.39523
2505 -5.07635 -7.44125
2507 -4.58532 9.68179
2551 -2.72420 0.64262
2554 -3.67723 2.95638
2560 -9.32479 6.30615
2561 -9.30986 0.98648
2562 -0.95615 10.68598
2565 -10.72322 -16.00652
2570 -9.19104 -4.28538
2584 -7.19072 -12.04130
2591 -6.81106 8.69635
2592 -10.25110 8.11389
2594 -11.01146 -11.50625
2597 -11.59026 9.92393
2619 -1.60941 11.79427
2624 -10.61007 -9.11297
2746 -4.75579 -9.38062
2747 -7.10598 5.77226
2748 -10.86653 -15.20516
2905 -3.25335 2.51347
2906 -3.39958 4.70547
2907 -3.16840 11.27064
2908 -3.87396 9.88353
2909 -3.03980 5.56390
2911 -2.26239 9.23462
2919 -4.03593 15.06011
2930 -7.17748 -12.93015
2931 -7.52366 -1.69342
2932 -1.44266 19.01604
2934 -7.22418 -5.20138
2935 -0.77906 20.60899
2937 -8.72758 -0.13419
2939 -2.01962 21.87931
2940 -12.20172 21.15144
2941 -3.76882 13.01138
2942 -9.93451 10.55575
2946 0.04455 19.91888
2947 -8.44786 41.57979
2950 -8.52261 -14.76976
2951 -7.62762 20.29031
2956 -3.33116 17.61995
2957 -8.73513 19.16397
2960 -5.39374 10.07379
2961 -4.38941 -4.23952
2963 -7.27220 18.58182
2964 -8.55372 -4.36032
2965 -10.70189 2.44019
2966 -3.42554 14.96191
2967 -6.42802 -8.92841
2968 -6.27080 20.34852
2970 -3.77974 15.65030
2971 -11.22772 24.69190
2972 -1.93095 -2.04578
4239 -7.56031 21.36605
4260 -7.90223 -13.91542
4267 -0.23031 12.40440
4269 -10.54931 15.21215
4270 -0.71082 24.23619
4348 -11.98445 12.77241
4458 -3.41582 -1.90567
-99
1-10 H_25.40000_63.56513
1001 7.57444 -6.94624
1067 1.46701 -20.45826
1068 -3.72546 -18.10686
1070 -1.18854 -16.35934
1071 -1.07238 -9.83768
1073 0.30012 -16.31833
1074 7.66842 -15.55534
1075 -5.99402 -20.82724
1076 -6.45642 -27.90177
1077 11.48321 -10.93105
1078 6.42788 -14.11960
